5.000000 0.200000 0.000020 0.999924 0.000336
0.500000 0.492040 0.000055 0.314403 0.000539
0.454545 0.494497 0.000089 0.290918 0.000843
0.416667 0.496424 0.000098 0.273073 0.000852
0.384615 0.497875 0.000058 0.258799 0.001132
0.357143 0.499141 0.000096 0.247545 0.001273
0.333333 0.499973 0.000134 0.237255 0.001771
0.312500 0.500812 0.000072 0.228930 0.001581
0.294118 0.501480 0.000113 0.222759 0.001319
0.277778 0.502179 0.000112 0.218058 0.002527
0.263158 0.502449 0.000143 0.213109 0.001651
2.500000 0.321954 0.000026 1.133912 0.000281
0.250000 0.503059 0.000121 0.208902 0.001409
0.238095 0.503252 0.000237 0.204975 0.002326
0.227273 0.503682 0.000169 0.202949 0.001838
0.217391 0.503868 0.000249 0.199583 0.002219
0.208333 0.504050 0.000181 0.197548 0.002758
0.200000 0.504426 0.000134 0.195061 0.001745
0.192308 0.504586 0.000212 0.193977 0.004575
0.185185 0.504606 0.000208 0.192553 0.002817
0.178571 0.504882 0.000213 0.190336 0.002614
0.172414 0.504922 0.000163 0.189191 0.003180
1.666667 0.392319 0.000013 0.963146 0.000252
0.166667 0.505106 0.000196 0.185957 0.003748
0.161290 0.505183 0.000168 0.187885 0.004931
0.156250 0.505204 0.000180 0.186140 0.004713
0.151515 0.505401 0.000226 0.187693 0.003459
0.147059 0.505429 0.000318 0.183012 0.003036
0.142857 0.505517 0.000199 0.183343 0.004479
0.138889 0.505612 0.000233 0.182946 0.003894
0.135135 0.505583 0.000165 0.181079 0.002572
0.131579 0.505698 0.000235 0.181005 0.004075
0.128205 0.505624 0.000192 0.182255 0.003888
1.250000 0.431611 0.000033 0.769109 0.000417
0.125000 0.505807 0.000311 0.180052 0.007156
0.121951 0.505972 0.000202 0.181169 0.004539
0.119048 0.505910 0.000294 0.176385 0.004302
0.116279 0.505886 0.000323 0.180290 0.006223
0.113636 0.505958 0.000278 0.180841 0.003871
0.111111 0.506106 0.000367 0.181395 0.004220
0.108696 0.506057 0.000254 0.173966 0.003272
0.106383 0.506221 0.000305 0.176414 0.005103
0.104167 0.506144 0.000359 0.179410 0.005980
0.102041 0.506223 0.000420 0.179915 0.005760
1.000000 0.454541 0.000046 0.619770 0.000542
0.100000 0.505986 0.000282 0.173793 0.007023
0.833333 0.468711 0.000061 0.513470 0.000603
0.714286 0.477925 0.000047 0.437772 0.000648
0.625000 0.484255 0.000089 0.383743 0.000954
0.555556 0.488729 0.000027 0.343836 0.000597
