2.173913 -6.130756 -0.542550 1.163636
2.173913 -6.445345 7.104313 1.560976
2.173913 -6.636600 6.283551 1.333333
2.173913 -6.959800 12.196660 1.523810
2.173913 -6.182933 4.860641 1.391304
2.127660 -6.010807 0.273612 1.230769
2.127660 -6.193596 1.814482 1.207547
2.127660 -6.034373 0.950829 1.185185
2.127660 -6.383183 3.877427 1.207547
2.127660 -6.268265 2.502135 1.103448
2.083333 -6.747478 4.785360 1.600000
2.083333 -6.965556 7.597413 2.133333
2.083333 -6.413693 0.861192 1.230769
2.083333 -6.369160 1.170825 1.280000
2.083333 -6.876790 6.222644 1.333333
2.040816 -7.287894 8.116740 2.133333
2.040816 -6.846019 9.482567 1.828571
2.040816 -6.711650 1.510140 1.523810
2.040816 -7.011291 3.901628 1.939394
2.040816 -6.675043 3.757989 1.454545
2.000000 -6.258204 5.171667 1.684211
2.000000 -6.774153 5.496447 1.777778
2.000000 -6.778069 3.095997 1.600000
2.000000 -6.668138 6.103640 1.600000
2.000000 -6.647894 8.557254 1.684211
1.923077 -7.143803 4.510039 1.729730
1.923077 -7.147120 3.303187 1.882353
1.923077 -6.770791 5.629685 1.523810
1.923077 -6.341778 5.778537 1.560976
1.923077 -7.079800 3.513924 1.777778
1.851852 -6.866233 6.126231 1.600000
1.851852 -6.849037 5.437304 1.641026
1.851852 -6.837322 4.624159 1.777778
1.851852 -6.753139 7.480014 1.560976
1.851852 -6.773279 7.527666 2.206897
1.785714 -6.523417 0.942622 1.422222
1.785714 -6.662978 0.976638 1.306122
1.785714 -6.820772 10.526290 2.000000
1.785714 -6.750951 12.361046 1.777778
1.785714 -6.844122 6.272487 1.828571
1.724138 -6.592735 0.340034 1.454545
1.724138 -6.755763 4.611812 1.560976
1.724138 -6.908042 2.638848 1.641026
1.724138 -6.555855 2.377872 1.488372
1.724138 -6.671110 4.310858 1.939394
1.666667 -7.348741 11.451987 2.782609
1.666667 -6.861849 5.587886 2.000000
1.666667 -6.946726 6.806751 1.777778
1.666667 -7.046676 9.177596 1.777778
1.666667 -6.784578 4.495803 1.641026
