0.019608 -2.877632 1.198184
0.019608 -2.952815 1.126717
0.019608 -2.953347 1.259788
0.019608 -2.929624 1.171531
0.019608 -2.987831 1.084971
0.016340 -2.844477 1.182749
0.016340 -2.839362 1.251946
0.016340 -2.798272 1.119455
0.016340 -2.880892 1.031180
0.016340 -2.925707 1.131199
0.014006 -2.836115 0.674646
0.014006 -2.794270 0.933039
0.014006 -2.833038 1.468929
0.014006 -2.893077 0.920557
0.014006 -2.842999 1.192135
0.012255 -2.805620 1.440047
0.012255 -2.829438 0.944266
0.012255 -2.747863 1.573367
0.012255 -2.811851 0.978518
0.012255 -2.876455 0.961740
0.010893 -2.748445 1.019151
0.010893 -2.814571 0.908530
0.010893 -2.784692 1.479077
0.010893 -2.813891 1.563730
0.010893 -2.797686 0.839298
0.098039 -7.504877 2.163921
0.098039 -7.506815 2.160473
0.098039 -7.500109 2.157302
0.098039 -7.499850 2.191510
0.098039 -7.497222 2.151530
0.009804 -2.805021 1.435642
0.009804 -2.797918 1.344435
0.009804 -2.831088 1.063638
0.009804 -2.744997 1.708854
0.009804 -2.799889 0.854709
0.049020 -4.448130 1.750020
0.049020 -4.419462 1.715069
0.049020 -4.446347 1.703630
0.049020 -4.442977 1.670444
0.049020 -4.446258 1.677316
0.032680 -3.494983 1.366349
0.032680 -3.465754 1.477963
0.032680 -3.451160 1.722393
0.032680 -3.438908 1.448153
0.032680 -3.469235 1.526357
0.024510 -3.110472 1.570479
0.024510 -3.111849 1.271692
0.024510 -3.087497 1.260492
0.024510 -3.092334 1.300737
