0.0000 0
0.0500 1.023e-5 
0.1000 8.250e-5
0.1500 2.824e-4
0.2000 6.597e-4
0.2500 1.267e-3
0.3000 2.172e-3
0.3500 3.431e-3
0.4000 5.086e-3
0.4500 7.206e-3
0.5000 9.939e-3
0.5500 1.359e-2
0.6000 1.877e-2
0.6500 2.665e-2
0.7000 3.919e-2
0.7500 5.901e-2
0.8000 8.976e-2
0.8500 1.361e-1
0.9000 2.030e-1
0.9500 2.946e-1
1.0000 4.154e-1
1.0500 5.707e-1
1.1000 7.659e-1
1.1500 1.006
1.2000 1.297
1.2500 1.646
1.3000 2.057
1.3500 2.537
1.4000 3.092
1.4500 3.732
1.5000 4.468
1.5500 5.313
1.6000 6.285
1.7000 8.678
1.7500 1.014e+1
1.8000 1.181e+1
1.8500 1.372e+1
1.9000 1.590e+1
1.9500 1.841e+1
2.0000 2.128e+1
2.0500 2.459e+1
2.1000 2.864e+1
2.1500 3.689e+1
2.1760 5.569e+1
2.1761 5.623e+1
2.1762 5.692e+1
2.1763 5.784e+1
2.1764 5.906e+1
2.1765 6.068e+1
2.1766 6.283e+1
2.1767 6.640e+1
2.1769 4.569e+1
2.1770 4.227e+1
2.1775 3.543e+1
2.1780 3.264e+1
2.2000 1.673e+1
2.2500 1.228e+1
2.3000 1.078e+1
2.3500 1.001e+1
2.4000 9.515
2.4500 9.225
2.5000 9.083
2.5500 9.043
2.6000 9.066
2.6500 9.117
2.7000 9.186
2.7500 9.271
2.8000 9.374
2.8500 9.493
2.9000 9.628
2.9500 9.778
3.0000 9.944
3.0500 1.012e+1
3.1000 1.032e+1
3.1500 1.053e+1
3.2000 1.075e+1
3.2500 1.099e+1
3.3000 1.124e+1
3.3500 1.151e+1
3.4000 1.178e+1
3.4500 1.207e+1
3.5000 1.237e+1
3.5500 1.268e+1
3.6000 1.300e+1
3.6500 1.333e+1
3.7000 1.366e+1
3.7500 1.401e+1
3.8000 1.437e+1
3.8500 1.475e+1
3.9000 1.513e+1
3.9500 1.554e+1
4.0000 1.596e+1
4.0500 1.640e+1
4.1000 1.687e+1
4.1500 1.736e+1
4.2000 1.788e+1
4.2500 1.84e+1
4.3000 1.90e+1
4.3500 1.96e+1
4.4000 2.03e+1
4.4500 2.10e+1
4.5000 2.18e+1
4.5500 2.26e+1
4.6000 2.36e+1
4.6500 2.48e+1
4.7000 2.61e+1
4.7500 2.78e+1
4.8000 2.98e+1
4.8500 3.22e+1
4.9000 3.53e+1
4.9500 3.93e+1
5.0000 4.47e+1
