3.333333 -4.535915 0.000000 -0.023542 0.000000 1.000000e+00 0.000000e+00
3.125000 -4.813823 0.000000 0.943922 0.000000 1.000000e+00 0.000000e+00
2.941176 -5.373581 0.000000 1.342326 0.000000 1.066667e+00 0.000000e+00
2.777778 -5.091724 0.000000 -0.203729 0.000000 1.000000e+00 0.000000e+00
2.631579 -5.462705 0.000000 1.450466 0.000000 1.000000e+00 0.000000e+00
2.500000 -5.916161 0.000000 3.557299 0.000000 1.103448e+00 0.000000e+00
2.000000 -6.194242 0.110367 0.429828 0.656373 1.231224e+00 2.367750e-02
1.923077 -6.514241 0.231091 0.178327 0.365698 1.238025e+00 1.532790e-01
1.851852 -6.505456 0.084942 1.170098 0.915171 1.282539e+00 1.396825e-01
1.785714 -6.170662 0.033620 1.194928 0.285729 1.186813e+00 4.395600e-02
1.724138 -6.801610 0.104939 3.817716 3.685452 1.650794e+00 1.269840e-01
1.666667 -6.524022 0.052181 0.575055 0.388095 1.219158 
