4.000000 -3.330291 0.094914 0.927249 0.094645 6.400000e+01 0.000000e+00
3.846154 -3.674328 0.084633 0.820962 0.025684 6.400000e+01 0.000000e+00
3.703704 -3.900819 0.161799 1.146962 1.053214 6.350000e+01 5.000000e-01
3.571429 -4.086462 0.071022 0.878526 0.395467 6.350000e+01 5.000000e-01
3.448276 -4.354833 0.076293 0.757443 0.260244 6.400000e+01 0.000000e+00
3.333333 -4.564460 0.092864 0.746695 0.114943 6.300000e+01 1.000000e+00
2.857143 -5.163888 0.071839 1.004390 0.377685 1.013333e+00 2.666680e-02
2.702703 -5.499846 0.265706 1.329905 1.175320 1.059071e+00 5.734949e-02
2.500000 -5.479212 0.074785 0.460649 0.392772 1.039796e+00 2.950476e-02
2.000000 -6.121451 0.138744 1.800235 1.149271 1.114577e+00 6.012807e-02
1.851852 -6.134598 0.108176 -0.068244 1.868054 1.069705e+00 5.769556e-02
1.754386 -6.191919 0.117174 -0.650297 0.872232 1.108655 
